timestamp,question,answer,context_length,chunks_used,retrieval_mode,similarity_threshold,processing_time,success,metadata
"2025-08-02T14:40:14.111514","What is the grace period for premium payments?","The grace period for premium payments is 30 days from the due date.",2500,3,"hybrid",0.7,1.8,True,"{"test": true, "model": "gpt-4", "temperature": 0.1}"
"2025-08-02T14:40:14.112514","What is the coverage amount?","The coverage amount is up to Rs. 5 lakhs per family.",15000,25,"batch_parallel",0.0,1.7333333333333334,True,"{"batch_index": 0, "batch_total": 3, "document_url": "https://example.com/test-policy.pdf", "processing_mode": "batch"}"
"2025-08-02T14:40:14.113513","What are the exclusions?","Exclusions include pre-existing conditions and cosmetic treatments.",15000,25,"batch_parallel",0.0,1.7333333333333334,True,"{"batch_index": 1, "batch_total": 3, "document_url": "https://example.com/test-policy.pdf", "processing_mode": "batch"}"
"2025-08-02T14:40:14.113513","How to file a claim?","Claims can be filed online through our portal or by calling customer service.",15000,25,"batch_parallel",0.0,1.7333333333333334,True,"{"batch_index": 2, "batch_total": 3, "document_url": "https://example.com/test-policy.pdf", "processing_mode": "batch"}"
"2025-08-02T14:42:51.777517","Does this policy cover maternity expenses, and what are the conditions?","Yes, the policy covers maternity expenses, including medical treatment expenses traceable to childbirth (including complicated deliveries and caesarean sections incurred during Hospitalization) and expenses towards lawful medical termination of pregnancy during the Policy Period. The female Insured Person should have been continuously covered for at least 24 months before availing this benefit. The New Born Baby shall be automatically covered from birth under the Sum Insured available to the mother during the corresponding Policy Period, for up to 3 months of age. [Context 3.1.14]",111161,195,"batch_parallel",0.0,2.1644283533096313,True,"{"batch_index": 0, "batch_total": 2, "document_url": "https://hackrx.blob.core.windows.net/assets/policy.pdf?sv=2023-01-03&st=2025-07-04T09%3A11%3A24Z&se=2027-07-05T09%3A11%3A00Z&sr=b&sp=r&sig=N4a9OU0w0QXO6AOIBiu4bpl7AXvEZogeT%2FjUHNO7HzQ%3D", "processing_mode": "batch"}"
"2025-08-02T14:42:51.778492","How does the policy define a 'Hospital'?","A hospital is defined as any institution established for in-patient care and day care treatment of disease/ injuries and which has been registered as a hospital with the local authorities under the Clinical Establishments (Registration and Regulation) Act, 2010 or under the enactments specified under Schedule of Section 56(1) of the said Act, OR complies with all minimum criteria as under: having qualified nursing staff under its employment round the clock; having at least ten inpatient beds, in those towns having a population of less than ten lacs and fifteen  inpatient beds in all other places; having qualified medical practitioner (s) in charge round the clock; having a fully equipped operation theatre of its own where surgical procedures are carried out; maintaining daily records of patients and shall make these accessible to the Company’s authorized personnel. [Context 2.22]",111161,195,"batch_parallel",0.0,2.1644283533096313,True,"{"batch_index": 1, "batch_total": 2, "document_url": "https://hackrx.blob.core.windows.net/assets/policy.pdf?sv=2023-01-03&st=2025-07-04T09%3A11%3A24Z&se=2027-07-05T09%3A11%3A00Z&sr=b&sp=r&sig=N4a9OU0w0QXO6AOIBiu4bpl7AXvEZogeT%2FjUHNO7HzQ%3D", "processing_mode": "batch"}"
"2025-08-02T14:51:01.085097","Does this policy cover maternity expenses, and what are the conditions?","Yes, the policy covers maternity expenses, including medical treatment expenses traceable to childbirth (including complicated deliveries and caesarean sections incurred during Hospitalization) and expenses towards lawful medical termination of pregnancy during the Policy Period. The female Insured Person should have been continuously covered for at least 24 months before availing this benefit. The New Born Baby shall be automatically covered from birth under the Sum Insured available to the mother during the corresponding Policy Period, for up to 3 months of age. [Context 3.1.14]",111161,195,"batch_parallel",0.0,2.727458357810974,True,"{"batch_index": 0, "batch_total": 2, "document_url": "https://hackrx.blob.core.windows.net/assets/policy.pdf?sv=2023-01-03&st=2025-07-04T09%3A11%3A24Z&se=2027-07-05T09%3A11%3A00Z&sr=b&sp=r&sig=N4a9OU0w0QXO6AOIBiu4bpl7AXvEZogeT%2FjUHNO7HzQ%3D", "processing_mode": "batch"}"
"2025-08-02T14:51:01.087320","How does the policy define a 'Hospital'?","A hospital is defined as any institution established for in-patient care and day care treatment of disease/ injuries and which has been registered as a hospital with the local authorities under the Clinical Establishments (Registration and Regulation) Act, 2010 or under the enactments specified under Schedule of Section 56(1) of the said Act, OR complies with all minimum criteria as under: having qualified nursing staff under its employment round the clock; having at least ten inpatient beds, in those towns having a population of less than ten lacs and fifteen  inpatient beds in all other places; having qualified medical practitioner (s) in charge round the clock; having a fully equipped operation theatre of its own where surgical procedures are carried out; maintaining daily records of patients and shall make these accessible to the Company’s authorized personnel. [Context 2.22]",111161,195,"batch_parallel",0.0,2.727458357810974,True,"{"batch_index": 1, "batch_total": 2, "document_url": "https://hackrx.blob.core.windows.net/assets/policy.pdf?sv=2023-01-03&st=2025-07-04T09%3A11%3A24Z&se=2027-07-05T09%3A11%3A00Z&sr=b&sp=r&sig=N4a9OU0w0QXO6AOIBiu4bpl7AXvEZogeT%2FjUHNO7HzQ%3D", "processing_mode": "batch"}"
"2025-08-02T14:51:30.975876","Does this policy cover maternity expenses, and what are the conditions?","Yes, the policy covers maternity expenses, including medical treatment expenses traceable to childbirth (including complicated deliveries and caesarean sections incurred during Hospitalization) and expenses towards lawful medical termination of pregnancy during the Policy Period. To be eligible, the female Insured Person should have been continuously covered for at least 24 months before availing this benefit. The New Born Baby shall be automatically covered from birth under the Sum Insured available to the mother during the corresponding Policy Period, for up to 3 months of age. [Context 3.1.14]",111161,195,"batch_parallel",0.0,1.7699931859970093,True,"{"batch_index": 0, "batch_total": 2, "document_url": "https://hackrx.blob.core.windows.net/assets/policy.pdf?sv=2023-01-03&st=2025-07-04T09%3A11%3A24Z&se=2027-07-05T09%3A11%3A00Z&sr=b&sp=r&sig=N4a9OU0w0QXO6AOIBiu4bpl7AXvEZogeT%2FjUHNO7HzQ%3D", "processing_mode": "batch"}"
"2025-08-02T14:51:30.977036","How does the policy define a 'Hospital'?","A hospital is defined as any institution established for in-patient care and day care treatment of disease/ injuries and which has been registered as a hospital with the local authorities under the Clinical Establishments (Registration and Regulation) Act, 2010 or under the enactments specified under Schedule of Section 56(1) of the said Act, OR complies with all minimum criteria as under: having qualified nursing staff under its employment round the clock; having at least ten inpatient beds, in those towns having a population of less than ten lacs and fifteen  inpatient beds in all other places; having qualified medical practitioner (s) in charge round the clock; having a fully equipped operation theatre of its own where surgical procedures are carried out and maintaining",111161,195,"batch_parallel",0.0,1.7699931859970093,True,"{"batch_index": 1, "batch_total": 2, "document_url": "https://hackrx.blob.core.windows.net/assets/policy.pdf?sv=2023-01-03&st=2025-07-04T09%3A11%3A24Z&se=2027-07-05T09%3A11%3A00Z&sr=b&sp=r&sig=N4a9OU0w0QXO6AOIBiu4bpl7AXvEZogeT%2FjUHNO7HzQ%3D", "processing_mode": "batch"}"
"2025-08-02T14:52:00.062266","Does this policy cover maternity expenses, and what are the conditions?","Yes, the policy covers maternity expenses, including medical treatment expenses traceable to childbirth (including complicated deliveries and caesarean sections incurred during Hospitalization) and expenses towards lawful medical termination of pregnancy during the Policy Period. The female Insured Person should have been continuously covered for at least 24 months before availing this benefit. The New Born Baby shall be automatically covered from birth under the Sum Insured available to the mother during the corresponding Policy Period, for up to 3 months of age. [Context",111161,195,"batch_parallel",0.0,2.1656899452209473,True,"{"batch_index": 0, "batch_total": 2, "document_url": "https://hackrx.blob.core.windows.net/assets/policy.pdf?sv=2023-01-03&st=2025-07-04T09%3A11%3A24Z&se=2027-07-05T09%3A11%3A00Z&sr=b&sp=r&sig=N4a9OU0w0QXO6AOIBiu4bpl7AXvEZogeT%2FjUHNO7HzQ%3D", "processing_mode": "batch"}"
